"","Journal","Rank","Source","IF"
"23425","Finance","B+","emlyon",NA
"23426","Finance and Stochastics","B+","emlyon",2.048
"23427","Finance and Stochastics","B+","emlyon",2.048
"23428","Finance Contrôle Stratégie","B","emlyon",NA
"23429","Financial Accountability and Management","B","emlyon",NA
"23430","Financial Analysts Journal","B","emlyon",1.682
"23431","Financial Management","B+","emlyon",1.677
"23432","Financial Review","C","emlyon",NA
"23433","Fiscal Studies","C","emlyon",1.149
"23434","Food Policy","C","emlyon",4.189
"23435","Food Policy","C","emlyon",4.189
"23436","Futures","B","emlyon",2.769
"23437","Games and Economic Behavior","A","emlyon",1.223
"23438","Gender, Work and Organization","B","emlyon",NA
"23439","Geneva Papers on Risk and Insurance: Issues and Practices","C","emlyon",NA
"23440","Geneva Risk and Insurance Review","B+","emlyon",0.75
"23441","Gérer et Comprendre","C","emlyon",NA
"23442","Gestion 2000","C","emlyon",NA
"23443","Gestion et Management Public","C","emlyon",NA
"23444","Gestion, revue Internationale de gestion","C","emlyon",NA
"23445","Global Strategy Journal","B","emlyon",4.065
"23446","Governance","B","emlyon",NA
"23447","Group and Organization Management","B+","emlyon",2.545
"23448","Group Decision and Negotiation","B","emlyon",1.612
"23449","Group Dynamics: Theory, Research and Practice","C","emlyon",NA
"23450","Group Processes and Intergroup Relations","B","emlyon",2.54
"23451","Harvard Business Review","A","emlyon",5.7
"23452","History of Political Economy","A","emlyon",0.829
"23453","Human Relations","A","emlyon",3.632
"23454","Human Resource Management","A","emlyon",2.476
"23455","Human Resource Management Journal","B+","emlyon",3.816
"23456","Human Resource Management Review","B","emlyon",4.922
"23457","Human Resource Planning","C","emlyon",NA
"23458","IEEE Transaction on Systems, Man and Cybernetics - A","B","emlyon",NA
"23459","IEEE Transaction on Systems, Man and Cybernetics - C","C","emlyon",NA
"23460","IEEE Transactions on Engineering Management","B+","emlyon",2.784
"23461","IEEE Transactions on Engineering Management","B+","emlyon",2.784
"23462","IEEE Transactions on Knowledge and Data Engineering","B+","emlyon",4.935
"23463","IEEE Transactions on Software Engineering","B+","emlyon",6.112
"23464","IISE Transactions","B","emlyon",1.579
"23465","Industrial and Corporate Change","B+","emlyon",1.981
"23466","Industrial and Labor Relations Review","A","emlyon",NA
"23467","Industrial Engineering","C","emlyon",NA
"23468","Industrial Marketing Management","B+","emlyon",4.695
"23469","Industrial Organization Review","B","emlyon",NA
"23470","Industrial Relations","B+","emlyon",1.581
"23471","Industry and Innovation","B","emlyon",3.351
"23472","Information and Management","B","emlyon",5.155
"23473","Information and Management","B","emlyon",5.155
"23474","Information and Organization","B","emlyon",3.3
"23475","Information Economics and Policy","B+","emlyon",1.654
"23476","Information Systems Journal","B+","emlyon",4.188
"23477","Information Systems Research","A+","emlyon",3.585
"23478","Information Technology and People","C","emlyon",2.495
"23479","Innovations, Cahiers d'Economie de l'Innovation","C","emlyon",NA
"23480","Insurance: Mathematics and Economics","B+","emlyon",NA
"23481","Interfaces","B","emlyon",0.775
"23482","Interfaces","B","emlyon",0.775
"23483","International Business Review","B","emlyon",3.953
"23484","International Economic Review","A","emlyon",1.56
"23485","International Entrepreneurship and Management Journal","C","emlyon",3.472
"23486","International Finance","B","emlyon",0.848
"23487","International Game Theory Review","B","emlyon",NA
"23488","International Journal of Accounting (The)","B","emlyon",NA
"23489","International Journal of Advanced Manufacturing Technology","C","emlyon",2.633
"23490","International Journal of Advertising","B","emlyon",3.606
"23491","International Journal of Arts Management","C","emlyon",0.784
"23492","International Journal of Auditing","B","emlyon",1.034
"23493","International journal of banking, accounting and finance","B","emlyon",NA
"23494","International Journal of Business and Globalisation","C","emlyon",NA
"23495","International Journal of Commerce and Management","C","emlyon",NA
"23496","International Journal of Comparative Labour Law and Industrial Relations","B","emlyon",NA
"23497","International Journal of Computer Integrated Manufacturing","C","emlyon",2.861
"23498","International Journal of Cross Cultural Management","C","emlyon",NA
"23499","International Journal of Electronic Business","C","emlyon",NA
"23500","International Journal of Electronic Commerce","B","emlyon",2.488
"23501","International Journal of Electronic Commerce","B","emlyon",2.488
"23502","International Journal of Entrepreneurial Behaviour and Research","C","emlyon",NA
"23503","International Journal of Entrepreneurship and Innovation","C","emlyon",NA
"23504","International Journal of Entrepreneurship and Innovation Management","C","emlyon",NA
"23505","International Journal of Entrepreneurship and Small Business","C","emlyon",NA
"23506","International Journal of Finance","C","emlyon",NA
"23507","International Journal of Flexible Manufacturing Systems","B","emlyon",NA
"23508","International Journal of Forecasting","B","emlyon",2.825
"23509","International Journal of Game Theory","B","emlyon",0.565
"23510","International Journal of Game Theory","B","emlyon",0.565
"23511","International Journal of Globalisation and Small Business","C","emlyon",NA
"23512","International Journal of Human Resource Management","B","emlyon",3.04
"23513","International Journal of Industrial Organization","A","emlyon",1.113
"23514","International Journal of Information Management","B","emlyon",8.21
"23515","International Journal of Innovation Management","C","emlyon",NA
"23516","International Journal of Logistics Management","B","emlyon",3.325
"23517","International Journal of Logistics: Research and Applications","C","emlyon",NA
"23518","International Journal of Management Reviews","B","emlyon",8.631
"23519","International Journal of Market Research","C","emlyon",1.093
"23520","International Journal of NonProfit and Voluntary Sector Marketing","C","emlyon",NA
"23521","International Journal of Operations and Production Management","B+","emlyon",4.619
"23522","International Journal of Physical Distribution and Logistics Management","C","emlyon",4.744
"23523","International Journal of Production Economics","A","emlyon",5.134
"23524","International Journal of Production Research","B","emlyon",4.577
"23525","International Journal of Project Management","B","emlyon",6.62
"23526","International Journal of Purchasing and Materials Management","C","emlyon",NA
"23527","International Journal of Quality and Reliability Management","B","emlyon",NA
"23528","International Journal of Research in Marketing","A","emlyon",3.352
"23529","International Journal of Retail and Distribution Management","C","emlyon",2.454
"23530","International Journal of Retailing","C","emlyon",NA
"23531","International Journal of Selection and Assessment","C","emlyon",1.2
"23532","International Journal of Service Industries Management","C","emlyon",NA
"23533","International Journal of Sports Marketing and Sponsorship","C","emlyon",1.075
"23534","International Journal of Systems Science","C","emlyon",2.149
"23535","International Journal of Technology Management","C","emlyon",1.348
"23536","International Journal of Technology Management","C","emlyon",1.348
"23537","International Journal of Theoretical and Applied Finance","B","emlyon",NA
"23538","International Journal of Wine Marketing","C","emlyon",NA
"23539","International Labour Review","C","emlyon",1.604
"23540","International Marketing Review","B","emlyon",2.907
"23541","International Monetary Fund Staff Papers","B","emlyon",NA
"23542","International Review of Economics and Finance","C","emlyon",1.818
"23543","International Review of Law and Economics","B+","emlyon",0.806
"23544","International Review of Retail Distribution and Consumption Research","C","emlyon",NA
"23545","International Small Business Journal","B+","emlyon",NA
"23546","International Studies of Management and Organization","B","emlyon",NA
"23547","International Tax and Public Finance","C","emlyon",0.925
"23548","Issues in Accounting Education","C","emlyon",NA
"23549","Journal de la Société Française de Statistique","C","emlyon",NA
"23550","Journal of Abnormal and Social Psychology","B","emlyon",NA
"23551","Journal of Accounting and Economics","A+","emlyon",3.723
"23552","Journal of Accounting and Public Policy","B","emlyon",2.351
"23553","Journal of Accounting Literature","B","emlyon",NA
"23554","Journal of Accounting Research","A+","emlyon",3.773
"23555","Journal of Accounting, Auditing and Finance","B","emlyon",NA
"23556","Journal of Advertising","B+","emlyon",6.302
"23557","Journal of Advertising Research","B","emlyon",2.169
"23558","Journal of Applied Accounting Research","C","emlyon",NA
"23559","Journal of Applied Behavioral Science","B","emlyon",1.5
"23560","Journal of Applied Business Research","C","emlyon",NA
"23561","Journal of Applied Corporate Finance","C","emlyon",NA
"23562","Journal of Applied Econometrics","B+","emlyon",1.901
"23563","Journal of Applied Psychology","A+","emlyon",5.851
"23564","Journal of Asset Management","C","emlyon",NA
"23565","Journal of Bank Research","C","emlyon",NA
"23566","Journal of Banking and Finance","A","emlyon",2.269
"23567","Journal of Behavioral Decision Making","C","emlyon",1.715
"23568","Journal of Behavioral Finance","C","emlyon",0.93
"23569","Journal of Brand Management","B","emlyon",1.795
"23570","Journal of Business and Economic Statistics","B+","emlyon",2.935
"23571","Journal of Business and Economic Statistics","B+","emlyon",2.935
"23572","Journal of Business and Industrial Marketing","C","emlyon",2.497
"23573","Journal of Business and Psychology","C","emlyon",3.289
"23574","Journal of Business Ethics","A","emlyon",4.141
"23575","Journal of Business Finance and Accounting","B+","emlyon",1.473
"23576","Journal of Business Logistics","B","emlyon",4.697
"23577","Journal of Business Research","B+","emlyon",4.874
"23578","Journal of Business Strategy","B","emlyon",NA
"23579","Journal of Business to Business Marketing","C","emlyon",NA
"23580","Journal of Business Venturing","A","emlyon",7.59
"23581","Journal of Business Venturing Insights","B","emlyon",NA
"23582","Journal of Career Development","C","emlyon",1.474
"23583","Journal of Change Management","C","emlyon",NA
"23584","Journal of Comparative Economics","B","emlyon",1.992
"23585","Journal of Competition Law and Economics","B","emlyon",0.565
"23586","Journal of Computational Finance","C","emlyon",0.878
"23587","Journal of Computer Information Systems","B","emlyon",1.582
"23588","Journal of Consumer Affairs","C","emlyon",1.733
"23589","Journal of Consumer Culture","B+","emlyon",2.24
"23590","Journal of Consumer Marketing","C","emlyon",NA
"23591","Journal of Consumer Psychology","A","emlyon",2.958
"23592","Journal of Consumer Research","A+","emlyon",6.207
"23593","Journal of Consumer Satisfaction, dissatisfaction, and complaining behavior","C","emlyon",NA
"23594","Journal of Contingencies and Crisis Management","C","emlyon",1.977
"23595","Journal of Corporate Finance: Contracting, Governance and Organization","A","emlyon",NA
"23596","Journal of Corporate Law Studies","B","emlyon",0.897
"23597","Journal of Corporate Taxation","C","emlyon",NA
"23598","Journal of Cost Management","B","emlyon",NA
"23599","Journal of Cultural Economy","C","emlyon",1.329
"23600","Journal of Customer Service in Marketing and Management","C","emlyon",NA
"23601","Journal of Database Administration","C","emlyon",NA
"23602","Journal of Database Management","C","emlyon",1.138
"23603","Journal of Database Marketing and Consumer Strategy Management","C","emlyon",NA
"23604","Journal of decision systems","C","emlyon",NA
"23605","Journal of Derivatives","B+","emlyon",0.349
"23606","Journal of Development Economics","B","emlyon",2.649
"23607","Journal of Direct Data and Digital Marketing Practice","C","emlyon",NA
"23608","Journal of Econometrics","A","emlyon",1.577
"23609","Journal of Econometrics","A","emlyon",1.577
"23610","Journal of Economic Behavior and Organization","B+","emlyon",1.591
"23611","Journal of Economic Dynamics and Control","A","emlyon",1.204
"23612","Journal of Economic Education","C","emlyon",1.157
"23613","Journal of Economic Growth","A","emlyon",4.615
"23614","Journal of Economic History","B+","emlyon",1.532
"23615","Journal of Economic Issues","C","emlyon",0.577
"23616","Journal of Economic Literature","A","emlyon",6.585
"23617","Journal of Economic Perspectives","A","emlyon",9.912
"23618","Journal of Economic Psychology","B+","emlyon",1.718
"23619","Journal of Economic Theory","A","emlyon",1.124
"23620","Journal of Economics","B","emlyon",1.373
"23621","Journal of Economics and Finance","C","emlyon",NA
"23622","Journal of Economics and Management Strategy","B+","emlyon",1.432
"23623","Journal of Empirical Finance","B","emlyon",1.566
"23624","Journal of Engineering and Technology Management","B","emlyon",1.957
"23625","Journal of Engineering and Technology Management","B","emlyon",1.957
"23626","Journal of Enterprising Culture","C","emlyon",NA
"23627","Journal of Entrepreneurship","C","emlyon",NA
"23628","Journal of Environmental and Economic Management","B","emlyon",NA
"23629","Journal of Environmental Law","B","emlyon",1.633
"23630","Journal of Euromarketing","C","emlyon",NA
"23631","Journal of Evolutionary Economics","B","emlyon",1.433
"23632","Journal of Experimental Psychology: General","A","emlyon",NA
"23633","Journal of Experimental Psychology: Human Perception and Performance","B","emlyon",NA
"23634","Journal of Experimental Psychology: Learning, Memory and Cognition","B","emlyon",NA
"23635","Journal of Experimental Social Psychology","B+","emlyon",3.254
"23636","Journal of Finance","A+","emlyon",6.813
"23637","Journal of Financial and Quantitative Analysis","A+","emlyon",2.707
"23638","Journal of Financial Econometrics","B","emlyon",1.595
"23639","Journal of Financial Economics","A+","emlyon",5.731
"23640","Journal of Financial Engineering","C","emlyon",NA
"23641","Journal of Financial Intermediation","B","emlyon",2.82
"23642","Journal of Financial Markets","B","emlyon",1.677
"23643","Journal of Financial Research","B","emlyon",1.263
"23644","Journal of Financial Services Marketing","C","emlyon",NA
"23645","Journal of Financial Services Research","B","emlyon",1.587
"23646","Journal of Fixed Income","B","emlyon",NA
"23647","Journal of Food Distribution Research","C","emlyon",NA
"23648","Journal of Forecasting","C","emlyon",1.57
"23649","Journal of Futures Studies","C","emlyon",NA
"23650","Journal of Futures Markets","B","emlyon",1.359
"23651","Journal of Global Fashion Marketing","C","emlyon",NA
"23652","Journal of Global Information Management","B","emlyon",1.213
"23653","Journal of Global Marketing","C","emlyon",NA
"23654","Journal of Global Scholars of Marketing Science","C","emlyon",NA
"23655","Journal of Happiness Studies","B","emlyon",2.344
"23656","Journal of Health and Social Behavior","B","emlyon",2.418
"23657","Journal of Housing Economics","C","emlyon",1.594
"23658","Journal of Human Resources","B+","emlyon",3.698
"23659","Journal of Industrial Economics","B+","emlyon",0.764
"23660","Journal of Industrial Relations","C","emlyon",1.719
"23661","Journal of Information Science","C","emlyon",2.41
"23662","Journal of Information Science","C","emlyon",2.41
"23663","Journal of Information Systems","B","emlyon",NA
"23664","Journal of Information Technology","B","emlyon",3.625
"23665","Journal of Information Technology","B","emlyon",3.625
"23666","Journal of Institutional and Theoretical Economics","B","emlyon",NA
"23667","Journal of Insurance Issues","C","emlyon",NA
"23668","Journal of Interactive Marketing","B+","emlyon",5.097
"23669","Journal of International Business Studies","A","emlyon",9.158
"23670","Journal of International Consumer Marketing","C","emlyon",NA
"23671","Journal of International Economic Law","B+","emlyon",2
"23672","Journal of International Economics","A","emlyon",2.255
"23673","Journal of International Entrepreneurship","B","emlyon",NA
"23674","Journal of International Financial Management and Accounting","C","emlyon",2.28
"23675","Journal of International Management","B","emlyon",3.821
"23676","Journal of International Marketing","B+","emlyon",4.575
"23677","Journal of International Money and Finance","B","emlyon",2.014
"23678","Journal of International Technology and Information Management","C","emlyon",NA
"23679","Journal of Knowledge Management","C","emlyon",4.745
"23680","Journal of Labor Economics","A","emlyon",3.356
"23681","Journal of Law and Economics","A","emlyon",0.958
"23682","Journal of Law, Economics, and Organization","A","emlyon",NA
"23683","Journal of Legal Studies","A","emlyon",0.486
"23684","Journal of Macroeconomics","B","emlyon",0.952
"23685","Journal of MacroMarketing","B","emlyon",1.925
"23686","Journal of Management","A","emlyon",8.88
"23687","Journal of Management Accounting Research","B","emlyon",NA
"23688","Journal of Management Development","C","emlyon",NA
"23689","Journal of Management Education","B","emlyon",NA
"23690","Journal of Management Inquiry","B","emlyon",1.778
"23691","Journal of Management Studies","A","emlyon",4.888
"23692","Journal of Management Systems","C","emlyon",NA
"23693","Journal of Management, Spirituality and Religion","B","emlyon",NA
"23694","Journal of Managerial Psychology","C","emlyon",1.38
"23695","Journal of Manufacturing and Operations Management","B","emlyon",NA
"23696","Journal of Manufacturing Systems","C","emlyon",5.105
"23697","Journal of Marketing","A+","emlyon",5.266
"23698","Journal of Marketing Channels","C","emlyon",NA
"23699","Journal of Marketing Communications","C","emlyon",NA
"23700","Journal of Marketing Management","B","emlyon",1.719
"23701","Journal of Marketing Research","A+","emlyon",4.626
"23702","Journal of Marketing Theory and Practice","C","emlyon",NA
"23703","Journal of Mathematical Economics","A","emlyon",0.746
"23704","Journal of Mathematical Economics","A","emlyon",0.746
"23705","Journal of Media Economics","C","emlyon",NA
"23706","Journal of MIS","A","emlyon",NA
"23707","Journal of Monetary Economics","A","emlyon",2.963
"23708","Journal of Money, Credit and Banking","A","emlyon",NA
"23709","Journal of Multinational Financial Management","C","emlyon",1.965
"23710","Journal of Occupational and Organizational Psychology","B+","emlyon",2.652
"23711","Journal of Occupational Behavior","C","emlyon",NA
"23712","Journal of Occupational Health Psychology","B+","emlyon",7.365
"23713","Journal of Operations Management","A+","emlyon",4.673
"23714","Journal of Operations Management","A+","emlyon",4.673
"23715","Journal of Organizational Behavior","A","emlyon",5.026
"23716","Journal of Organizational Behavior Management","C","emlyon",1.265
"23717","Journal of Organizational Change Management","C","emlyon",0.967
"23718","Journal of Personal Selling and Sales Management","C","emlyon",NA
"23719","Journal of Personality","B","emlyon",3.667
"23720","Journal of Personality and Social Psychology","A","emlyon",6.335
"23721","Journal of Policy Modelling","C","emlyon",NA
"23722","Journal of Political Economy","A+","emlyon",5.504
"23723","Journal of Population Economics","B","emlyon",1.84
"23724","Journal of Portfolio Management","B","emlyon",0.709
"23725","Journal of Product and Brand Management","C","emlyon",1.832
"23726","Journal of Product Innovation Management","A","emlyon",5
"23727","Journal of Product Innovation Management","A","emlyon",5
"23728","Journal of Productivity Analysis","C","emlyon",1.375
"23729","Journal of Professional Services Marketing","C","emlyon",NA
"23730","Journal of Project Finance","C","emlyon",NA
"23731","Journal of Promotion Management","C","emlyon",NA
"23732","Journal of Public Policy and Marketing","B","emlyon",2.478
"23733","Journal of Purchasing and Supply Management","B","emlyon",4.64
"23734","Journal of Quality Technology","B","emlyon",2.019
"23735","Journal of Real Estate Finance and Economics","B","emlyon",0.967
"23736","Journal of Real Estate Literature","B","emlyon",NA
"23737","Journal of Regional Science","C","emlyon",2.088
"23738","Journal of Regulatory Economics","B","emlyon",1.158
"23739","Journal of Research for Consumers","C","emlyon",NA
"23740","Journal of Retailing","A","emlyon",5.873
"23741","Journal of Retailing and Consumer Services","C","emlyon",4.219
"23742","Journal of Risk and Insurance","A","emlyon",1.512
"23743","Journal of Risk and Uncertainty","A","emlyon",1.756
"23744","Journal of Service Management","C","emlyon",4.662
"23745","Journal of Service Research","B","emlyon",6.382
"23746","Journal of Services Marketing","C","emlyon",3.195
"23747","Journal of Small Business and Enterprise Development","C","emlyon",NA
"23748","Journal of Small Business and Entrepreneurship","C","emlyon",NA
"23749","Journal of Small Business Management","B+","emlyon",3.461
"23750","Journal of Strategic Information Systems","B","emlyon",5.231
"23751","Journal of Strategic Information Systems","B","emlyon",5.231
"23752","Journal of Strategic Marketing","C","emlyon",NA
"23753","Journal of Supply Chain Management","B","emlyon",6.842
"23754","Journal of Technology Transfer","B","emlyon",4.147
"23755","Journal of the Academy of Marketing Science","A","emlyon",7.959
"23756","Journal of the American Statistical Association","A+","emlyon",3.989
"23757","Journal of the Association for Computing Machinery (ACM)","B","emlyon",NA
"23758","Journal of the Association for Information Systems","B+","emlyon",2.957
"23759","Journal of the Association for Information Systems","B+","emlyon",2.957
"23760","Journal of the European Economic Association","A","emlyon",3.388
"23761","Journal of the Market Research Society","C","emlyon",NA
"23762","Journal of the Operational Research Society","B+","emlyon",2.175
"23763","Journal of the Operational Research Society","B+","emlyon",2.175
"23764","Journal of The Royal Statistical Society - Series A-Statistics in Society","B+","emlyon",NA
"23765","Journal of The Royal Statistical Society - Series B","A","emlyon",NA
"23766","Journal of the Royal Statistical Society - Series C","B+","emlyon",NA
"23767","Journal of Transport Economics and Policy","B","emlyon",0.919
"23768","Journal of Travel and Tourism Marketing","C","emlyon",4.097
"23769","Journal of Travel Research","B","emlyon",7.027
"23770","Journal of Urban Economics","B","emlyon",2.858
"23771","Journal of Vocational Behavior","B+","emlyon",4.075
"23772","Journal of Wine Economics","C","emlyon",1.774
"23773","Journal of Wine Economics","C","emlyon",1.774
"23774","Journal of World Business","B+","emlyon",5.194
"23775","Journal of World Trade","C","emlyon",0.931
"23776","Knowledge Management Research and Practice","C","emlyon",1.583
"23777","Labour Economics","B","emlyon",1.335
"23778","Land Economics","B","emlyon",1.62
"23779","Leadership","C","emlyon",1.441
"23780","Leadership Quarterly","A","emlyon",6.642
"23781","Learning Organization (the)","C","emlyon",NA
"23782","Logistique et Management","C","emlyon",NA
"23783","Long Range Planning","B","emlyon",4.041
"23784","M@n@gement","B+","emlyon",NA
"23785","Macroeconomic Dynamics","B","emlyon",0.976
"23786","Management Accounting Quarterly","C","emlyon",NA
"23787","Management Accounting Research","A","emlyon",3.054
"23788","Management and Organizational History","C","emlyon",0.371
"23789","Management Communication Quarterly","C","emlyon",1.453
"23790","Management Decision","C","emlyon",2.723
"23791","Management et Avenir","C","emlyon",NA
"23792","Management International","B","emlyon",NA
"23793","Management International Review","B","emlyon",2.015
"23794","Management Learning","B","emlyon",2.18
"23795","Management Science","A+","emlyon",3.935
"23796","Management Science","A+","emlyon",3.935
"23797","Managerial Auditing Journal","C","emlyon",1.87
"23798","Managerial Finance","C","emlyon",NA
"23799","Manufacturing and Service Operations Management","A","emlyon",NA
"23800","Marketing Letters","B+","emlyon",1.277
"23801","Marketing Science","B+","emlyon",3.019
"23802","Marketing theory","B+","emlyon",2.815
"23803","Mathematical Finance","A","emlyon",2.25
"23804","Mathematical Finance","A","emlyon",2.25
"23805","Mathematical methods of Operations Research","C","emlyon",1
"23806","Mathematical Programming","A","emlyon",2.823
"23807","Mathematical Social Sciences","B+","emlyon",0.669
"23808","Mathematical Social Sciences","B+","emlyon",0.669
"23809","Mathematics of Operations Research","A","emlyon",1.783
"23810","MIS Quarterly","A+","emlyon",5.37
"23811","MIS Quarterly","A+","emlyon",5.37
"23812","MIT Sloan Management Review","A","emlyon",2.706
"23813","Négociations","C","emlyon",NA
"23814","North American Actuarial Journal","B+","emlyon",NA
"23815","Omega","B","emlyon",NA
"23816","Open Economies Review","C","emlyon",1.035
"23817","Operations Research","A+","emlyon",2.43
"23818","Operations Research","A+","emlyon",2.43
"23819","Operations Research Letters","B","emlyon",0.757
"23820","OR Spectrum","B","emlyon",1.274
"23821","Organization","A","emlyon",2.619
"23822","Organization and Environment","B","emlyon",3.333
"23823","Organization Management Journal","B","emlyon",NA
"23824","Organization Science","A+","emlyon",2.79
"23825","Organization Studies","A","emlyon",3.941
"23826","Organizational Behavior and Human Decision Processes","A","emlyon",2.304
"23827","Organizational Dynamics","B","emlyon",1.852
"23828","Organizational Research Methods","A","emlyon",5.705
"23829","Oxford Bulletin of Economics and Statistics","B","emlyon",0.918
"23830","Oxford Bulletin of Economics and Statistics","B","emlyon",0.918
"23831","Oxford Economic Papers","B","emlyon",NA
"23832","Oxford Review of Economic Policy","B","emlyon",3.438
"23833","Pacific Economic Review","B","emlyon",0.5
"23834","Personality and individual differences","B","emlyon",2.311
"23835","Personality and Social Psychology Bulletin","B+","emlyon",2.97
"23836","Personality and Social Psychology Review","B","emlyon",12.321
"23837","Personnel","C","emlyon",NA
"23838","Personnel Psychology","A","emlyon",6.571
"23839","Personnel Review","C","emlyon",2.074
"23840","Philosophy of management","C","emlyon",NA
"23841","Proceedings of the National Academy of Sciences","A","emlyon",NA
"23842","Production and Inventory Management Journal","B","emlyon",NA
"23843","Production and Operations Management","A","emlyon",2.59
"23844","Production Planning and Control","B+","emlyon",3.605
"23845","Project Management Journal","C","emlyon",2.506
"23846","Psychological Bulletin","A","emlyon",20.85
"23847","Psychological Bulletin","A","emlyon",20.85
"23848","Psychological Review","A","emlyon",6.857
"23849","Psychological Review","A","emlyon",6.857
"23850","Psychological Science","A","emlyon",5.389
"23851","Psychologie française","C","emlyon",NA
"23852","Psychology and Marketing","B","emlyon",2.37
"23853","Psychometrika","B+","emlyon",1.959
"23854","Psychometrika","B+","emlyon",1.959
"23855","Public Administration Review","A","emlyon",4.063
"23856","Public Choice","B","emlyon",1.035
"23857","Public Finance and Accountancy","C","emlyon",NA
"23858","Public Personnel Management","C","emlyon",0.897
"23859","Qualitative market research","C","emlyon",NA
"23860","Qualitative Research","B+","emlyon",2.247
"23861","Qualitative research in accounting and management","B","emlyon",0.69
"23862","Quality Management Journal","C","emlyon",NA
"23863","Quantitative Finance","B+","emlyon",1.491
"23864","Quantitative Finance","B+","emlyon",1.491
"23865","Quantitative Marketing and Economics","B","emlyon",NA
"23866","Quarterly Journal of Business and Economics","B","emlyon",NA
"23867","Quarterly Journal of Economics","A+","emlyon",11.375
"23868","Quarterly Review of Economics and Finance","C","emlyon",NA
"23869","R&D Management","B","emlyon",NA
"23870","RAIRO / Recherche Opérationnelle","B","emlyon",NA
"23871","RAND Journal of Economics","A","emlyon",1.62
"23872","Recherche et Application en Marketing","B+","emlyon",NA
"23873","Recherches en Sciences de Gestion","C","emlyon",NA
"23874","Recueil Dalloz","B+","emlyon",NA
"23875","Regional Science and Urban Economics","C","emlyon",1.667
"23876","Relations industrielles","B","emlyon",NA
"23877","Research in Economics","B","emlyon",NA
"23878","Research in Organizational Behavior","B+","emlyon",1.8
"23879","Research in the Sociology of Organizations","B","emlyon",NA
"23880","Research Policy","A","emlyon",5.351
"23881","Research Technology Management","C","emlyon",NA
"23882","Réseaux","C","emlyon",NA
"23883","Resource and Energy Economics","B","emlyon",1.829
"23884","Review of Accounting and Finance","B","emlyon",NA
"23885","Review of Accounting Studies","A+","emlyon",2.6
"23886","Review of Derivatives Research","C","emlyon",0.318
"23887","Review of Economic Studies","A+","emlyon",4.89
"23888","Review of Economics and Statistics","A","emlyon",4.345
"23889","Review of Finance","A","emlyon",2.885
"23890","Review of Financial Economics","C","emlyon",NA
"23891","Review of Financial Studies","A+","emlyon",4.649
"23892","Review of Futures Markets","C","emlyon",NA
"23893","Review of Income and Wealth","B","emlyon",1.402
"23894","Review of Industrial Organization","B","emlyon",0.505
"23895","Review of Quantitative Finance and Accounting","B","emlyon",NA
"23896","Review of Social Economy","C","emlyon",NA
"23897","Revue Canadienne des Sciences Administratives","C","emlyon",NA
"23898","Revue de Droit des Affaires Internationales","C","emlyon",NA
"23899","Revue de Gestion des Ressources Humaines","B","emlyon",NA
"23900","Revue de l'entrepreneuriat","C","emlyon",NA
"23901","Revue de l'Organisation Responsable","C","emlyon",NA
"23902","Revue d'Economie Financière","C","emlyon",NA
"23903","Revue d'Economie Industrielle","C","emlyon",NA
"23904","Revue d'Economie Politique","B","emlyon",NA
"23905","Revue Economique","B","emlyon",NA
"23906","Revue Française d'Administration Publique","C","emlyon",NA
"23907","Revue française de comptabilité","C","emlyon",NA
"23908","Revue Française de Gestion","B","emlyon",NA
"23909","Revue Française de Gestion Industrielle","C","emlyon",NA
"23910","Revue française de gouvernance d'entreprise","C","emlyon",NA
"23911","Revue française de Science Politique","B","emlyon",NA
"23912","Revue française de sociologie","B+","emlyon",NA
"23913","Revue française du marketing","C","emlyon",NA
"23914","Revue Interdisciplinaire sur le Management et l'Humanisme (RIMHE)","C","emlyon",NA
"23915","Revue Internationale de Droit Comparé","B","emlyon",NA
"23916","Revue Internationale de Droit Economique","B","emlyon",NA
"23917","Revue internationale de psychologie appliquée","C","emlyon",NA
"23918","Revue internationale de psychosociologie et de gestion des comportements","C","emlyon",NA
"23919","Revue Internationale PME","B","emlyon",NA
"23920","Revue Lamy de la Concurrence","B","emlyon",NA
"23921","Revue Sciences de Gestion","C","emlyon",NA
"23922","Revue Trimestrielle de Droit Civil","B+","emlyon",NA
"23923","Revue Trimestrielle de Droit Commercial","B","emlyon",NA
"23924","Risk Analysis","B+","emlyon",3.137
"23925","Risk Analysis","B+","emlyon",3.137
"23926","Scandinavian Actuarial Journal","A","emlyon",1.705
"23927","Scandinavian Actuarial Journal","A","emlyon",1.705
"23928","Scandinavian Journal of Economics","B","emlyon",1.422
"23929","Scandinavian Journal of Management","B","emlyon",1.891
"23930","Scottish Journal of Political Economy","B","emlyon",0.54
"23931","Semaine Juridique - Edition Entreprises","B+","emlyon",NA
"23932","Semaine Juridique - Edition Générale","B+","emlyon",NA
"23933","Sex Roles:A Journal of Research","B","emlyon",NA
"23934","SIAM Journal of Control and Optimization","A","emlyon",NA
"23935","SIAM Journal on Optimization","A","emlyon",2.247
"23936","Small Business Economics","B+","emlyon",4.803
"23937","Small Group Research","B","emlyon",1.745
"23938","Social Forces","A","emlyon",1.953
"23939","Social Networks","B+","emlyon",2.376
"23940","Social Problems","B+","emlyon",2.345
"23941","Social Psychology Quaterly","B+","emlyon",NA
"23942","Social Science and Medicine","B+","emlyon",3.616
"23943","Social Science and Medicine","B+","emlyon",3.616
"23944","Social Science Research","B","emlyon",1.959
